City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,papao,-17.75,-149.55,25.82,73,2,3.17,PF,2024-10-16
1,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,66,20,7.0,RU,2024-10-16
2,adamstown,-25.066,-130.1015,21.27,88,98,6.71,PN,2024-10-16
3,tual,-5.6667,132.75,27.71,76,68,5.18,ID,2024-10-16
4,cockburn town,21.4612,-71.1419,29.34,71,9,7.79,TC,2024-10-16
5,lebu,-37.6167,-73.65,9.92,84,99,2.15,CL,2024-10-16
6,la mira,18.035,-102.3266,25.08,92,20,1.65,MX,2024-10-16
7,jamestown,42.097,-79.2353,6.12,88,100,4.12,US,2024-10-16
8,bharatpur,27.2167,77.4833,29.91,25,17,2.29,IN,2024-10-16
9,puerto baquerizo moreno,-0.9,-89.6,20.53,89,59,5.6,EC,2024-10-16
10,albany,42.6001,-73.9662,5.36,68,78,1.79,US,2024-10-16
11,tura,25.5198,90.2201,27.58,61,0,1.15,IN,2024-10-16
12,shimoda,34.6667,138.95,24.49,78,100,3.85,JP,2024-10-16
13,grytviken,-54.2811,-36.5092,3.07,77,100,2.93,GS,2024-10-16
14,qaqortoq,60.7167,-46.0333,0.26,81,38,0.55,GL,2024-10-16
15,touros,-5.1989,-35.4608,24.5,79,25,5.22,BR,2024-10-16
16,port-aux-francais,-49.35,70.2167,0.6,70,87,16.18,TF,2024-10-16
17,edinburgh of the seven seas,-37.0676,-12.3116,11.65,65,3,3.8,SH,2024-10-16
18,pangoa,-12.1167,-73.0,19.9,98,41,1.42,PE,2024-10-16
19,oranjemund,-28.55,16.4333,13.56,89,35,4.5,NA,2024-10-16
20,loralai,30.3705,68.598,24.34,11,57,5.45,PK,2024-10-16
21,waitangi,-43.9535,-176.5597,9.9,80,72,2.24,NZ,2024-10-16
22,margaret river,-33.95,115.0667,17.63,64,100,6.14,AU,2024-10-16
23,ugoofaaru,5.6667,73.0,27.91,78,76,6.41,MV,2024-10-16
24,anadyr,64.75,177.4833,1.28,86,0,1.0,RU,2024-10-16
25,ladario,-19.0047,-57.6017,26.18,65,95,0.56,BR,2024-10-16
